,object,room,identifiers,cluster_asgns
104,fondant,pantry_room,ann231_asgn2988-ann325_asgn2989-ann115_asgn2990-ann303_asgn2991-ann14_asgn2992-ann298_asgn2993-ann207_asgn2994-ann51_asgn2995-ann285_asgn2996-ann8_asgn2997-,2-0-1-0-2-1-2-2-2-2-
105,fruit_snack,corridor,ann222_asgn2768-ann115_asgn2769-ann213_asgn2770-ann207_asgn2771-ann123_asgn2772-ann266_asgn2773-ann147_asgn2774-ann17_asgn2775-ann30_asgn2776-ann8_asgn2777-,1-0-0-0-0-2-2-1-1-2-
106,fruit_snack,lobby,ann115_asgn3157-ann303_asgn3158-ann298_asgn3159-ann207_asgn3160-ann266_asgn3161-ann234_asgn3162-ann147_asgn3163-ann140_asgn3164-ann17_asgn3165-ann8_asgn3166-,0-0-1-2-0-0-0-1-2-0-
107,gelatin_box,bedroom,ann200_asgn910-ann115_asgn911-ann144_asgn912-ann11_asgn913-ann136_asgn914-ann38_asgn915-ann122_asgn916-ann17_asgn917-ann80_asgn918-ann31_asgn919-,1-2-1-0-0-0-0-2-0-0-
108,gelatin_box,childs_room,ann130_asgn250-ann131_asgn251-ann115_asgn252-ann108_asgn253-ann51_asgn254-ann63_asgn255-ann17_asgn256-ann80_asgn257-ann9_asgn258-ann120_asgn259-,1-1-2-0-2-2-1-0-1-1-
109,gelatin_box,living_room,ann83_asgn890-ann22_asgn891-ann197_asgn892-ann137_asgn893-ann198_asgn894-ann67_asgn895-ann51_asgn896-ann17_asgn897-ann80_asgn898-ann8_asgn899-,0-2-1-2-0-2-2-1-0-0-
110,graphics_card,living_room,ann231_asgn2968-ann134_asgn2969-ann136_asgn2970-ann207_asgn2971-ann225_asgn2972-ann161_asgn2973-ann51_asgn2974-ann123_asgn2975-ann140_asgn2976-ann17_asgn2977-,1-2-0-2-2-0-2-2-2-1-
111,hair_conditioner,lobby,ann82_asgn2123-ann218_asgn2124-ann135_asgn2125-ann257_asgn2126-ann269_asgn2127-ann67_asgn2128-ann51_asgn2129-ann123_asgn2130-ann140_asgn2131-ann215_asgn2132-,2-0-2-0-0-2-1-2-1-0-
112,hair_dryer,pantry_room,ann117_asgn2000-ann115_asgn2001-ann275_asgn2002-ann261_asgn2003-ann22_asgn2004-ann257_asgn2005-ann140_asgn2006-ann17_asgn2007-ann9_asgn2008-ann64_asgn4568-,0-1-1-2-0-0-1-2-0-0-
113,hair_dryer,utility_room,ann264_asgn1917-ann267_asgn1918-ann218_asgn1919-ann261_asgn1920-ann257_asgn1921-ann268_asgn1922-ann140_asgn1923-ann17_asgn1924-ann215_asgn1925-ann254_asgn1926-,1-0-2-2-0-0-0-1-0-0-
114,hand_bell,playroom,ann25_asgn4397-ann346_asgn4398-ann344_asgn4399-ann303_asgn4400-ann297_asgn4401-ann339_asgn4402-ann107_asgn4403-ann161_asgn4404-ann343_asgn4405-ann140_asgn4406-,2-2-1-2-0-0-2-2-1-2-
115,hand_bell,storage_room,ann32_asgn4297-ann349_asgn4298-ann350_asgn4299-ann239_asgn4300-ann303_asgn4301-ann356_asgn4302-ann340_asgn4303-ann342_asgn4304-ann123_asgn4305-ann351_asgn4306-,0-1-2-2-0-1-1-2-0-2-
116,hard_drive,playroom,ann82_asgn2958-ann10_asgn2959-ann286_asgn2960-ann303_asgn2961-ann298_asgn2962-ann207_asgn2963-ann161_asgn2964-ann51_asgn2965-ann147_asgn2966-ann17_asgn2967-,0-1-0-2-2-0-2-0-2-1-
117,hard_drive_case,lobby,ann115_asgn1090-ann116_asgn1091-ann207_asgn1092-ann50_asgn1093-ann123_asgn1094-ann140_asgn1095-ann8_asgn1096-ann215_asgn1097-ann97_asgn1098-ann31_asgn1099-,2-1-2-0-0-1-2-0-2-0-
118,headphones,bathroom,ann218_asgn2471-ann261_asgn2472-ann257_asgn2473-ann161_asgn2474-ann259_asgn2475-ann140_asgn2476-ann17_asgn2477-ann30_asgn2478-ann215_asgn2479-ann368_asgn4587-,0-0-0-2-2-1-1-1-2-2-
119,headphones,playroom,ann218_asgn2304-ann135_asgn2305-ann213_asgn2306-ann220_asgn2307-ann36_asgn2308-ann161_asgn2309-ann51_asgn2310-ann17_asgn2311-ann23_asgn2312-ann254_asgn2313-,0-2-2-0-1-0-2-1-2-2-
120,heavy_duty_gloves,kitchen,ann357_asgn4177-ann344_asgn4178-ann303_asgn4179-ann288_asgn4180-ann207_asgn4181-ann107_asgn4182-ann87_asgn4183-ann340_asgn4184-ann17_asgn4185-ann354_asgn4186-,2-1-2-0-0-0-1-1-1-1-
121,heavy_duty_gloves,living_room,ann349_asgn4007-ann350_asgn4008-ann344_asgn4009-ann207_asgn4010-ann87_asgn4011-ann161_asgn4012-ann340_asgn4013-ann342_asgn4014-ann353_asgn4015-ann54_asgn4016-,1-2-1-0-0-2-1-1-1-2-
122,heavy_duty_gloves,storage_room,ann231_asgn4227-ann350_asgn4228-ann357_asgn4229-ann302_asgn4230-ann344_asgn4231-ann303_asgn4232-ann87_asgn4233-ann51_asgn4234-ann345_asgn4235-ann342_asgn4236-,2-0-0-1-1-0-0-2-0-0-
123,heavy_master_chef_can,bedroom,ann231_asgn1410-ann209_asgn1411-ann115_asgn1412-ann84_asgn1413-ann41_asgn1414-ann213_asgn1415-ann207_asgn1416-ann27_asgn1417-ann107_asgn1418-ann8_asgn1419-,0-0-0-2-0-0-1-2-0-1-
124,heavy_master_chef_can,dining_room,ann115_asgn1450-ann116_asgn1451-ann1_asgn1452-ann129_asgn1453-ann207_asgn1454-ann220_asgn1455-ann16_asgn1456-ann94_asgn1457-ann23_asgn1458-ann8_asgn1459-,2-1-1-0-1-2-0-0-0-2-
125,heavy_master_chef_can,home_office,ann115_asgn1750-ann211_asgn1751-ann207_asgn1752-ann220_asgn1753-ann225_asgn1754-ann221_asgn1755-ann16_asgn1756-ann50_asgn1757-ann223_asgn1758-ann8_asgn1759-,2-1-0-0-2-1-2-2-2-2-
126,helmet,bathroom,ann115_asgn2628-ann303_asgn2629-ann298_asgn2630-ann207_asgn2631-ann51_asgn2632-ann285_asgn2633-ann123_asgn2634-ann266_asgn2635-ann8_asgn2636-ann31_asgn2637-,0-0-0-1-1-1-2-2-0-0-
127,helmet,lobby,ann82_asgn3227-ann231_asgn3228-ann115_asgn3229-ann303_asgn3230-ann298_asgn3231-ann207_asgn3232-ann51_asgn3233-ann266_asgn3234-ann17_asgn3235-ann332_asgn3236-,1-0-2-2-0-0-1-0-1-0-
128,helmet,utility_room,ann141_asgn3517-ann115_asgn3518-ann136_asgn3519-ann298_asgn3520-ann207_asgn3521-ann51_asgn3522-ann266_asgn3523-ann140_asgn3524-ann17_asgn3525-ann8_asgn3526-,0-2-0-1-1-0-0-0-1-2-
129,herring_fillets,storage_room,ann82_asgn2618-ann303_asgn2619-ann298_asgn2620-ann207_asgn2621-ann51_asgn2622-ann123_asgn2623-ann266_asgn2624-ann140_asgn2625-ann17_asgn2626-ann8_asgn2627-,2-2-0-0-1-0-0-1-0-0-
130,honey_dipper,kitchen,ann32_asgn3837-ann349_asgn3838-ann239_asgn3839-ann344_asgn3840-ann339_asgn3841-ann107_asgn3842-ann283_asgn3843-ann340_asgn3844-ann266_asgn3845-ann140_asgn3846-,0-1-2-1-2-0-0-0-0-0-
131,ink_cartridge,bathroom,ann25_asgn2978-ann134_asgn2979-ann303_asgn2980-ann298_asgn2981-ann213_asgn2982-ann207_asgn2983-ann87_asgn2984-ann266_asgn2985-ann17_asgn2986-ann324_asgn2987-,2-2-0-0-2-1-2-2-1-1-
132,ink_cartridge,television_room,ann231_asgn2738-ann115_asgn2739-ann298_asgn2740-ann207_asgn2741-ann161_asgn2742-ann51_asgn2743-ann123_asgn2744-ann266_asgn2745-ann140_asgn2746-ann17_asgn2747-,1-0-0-2-0-2-2-2-1-2-
133,instant_camera,bedroom,ann231_asgn3687-ann349_asgn3688-ann350_asgn3689-ann346_asgn3690-ann303_asgn3691-ann207_asgn3692-ann297_asgn3693-ann161_asgn3694-ann341_asgn3695-ann17_asgn3696-,0-1-2-2-2-0-0-2-2-1-
134,invitation_card,childs_room,ann82_asgn2518-ann115_asgn2519-ann207_asgn2520-ann297_asgn2521-ann51_asgn2522-ann123_asgn2523-ann147_asgn2524-ann23_asgn2525-ann8_asgn2526-ann31_asgn2527-,1-2-1-2-2-2-0-2-0-2-
135,jar,pantry_room,ann115_asgn380-ann111_asgn381-ann136_asgn382-ann108_asgn383-ann88_asgn384-ann63_asgn385-ann17_asgn386-ann18_asgn387-ann80_asgn388-ann30_asgn389-,0-0-0-2-0-1-2-1-1-0-
136,jenga,corridor,ann82_asgn2433-ann264_asgn2434-ann218_asgn2435-ann257_asgn2436-ann213_asgn2437-ann67_asgn2438-ann51_asgn2439-ann140_asgn2440-ann17_asgn2441-ann215_asgn2442-,0-0-0-2-0-0-1-0-1-2-
137,jewelry_box,storage_room,ann238_asgn1400-ann115_asgn1401-ann211_asgn1402-ann239_asgn1403-ann207_asgn1404-ann16_asgn1405-ann51_asgn1406-ann123_asgn1407-ann140_asgn1408-ann8_asgn1409-,2-0-1-1-0-2-2-2-1-2-
138,keyboard,playroom,ann264_asgn1917-ann267_asgn1918-ann218_asgn1919-ann261_asgn1920-ann257_asgn1921-ann268_asgn1922-ann140_asgn1923-ann17_asgn1924-ann215_asgn1925-ann254_asgn1926-,1-0-2-0-0-0-1-2-0-0-
139,keyboard,storage_room,ann82_asgn2433-ann264_asgn2434-ann218_asgn2435-ann257_asgn2436-ann213_asgn2437-ann67_asgn2438-ann51_asgn2439-ann140_asgn2440-ann17_asgn2441-ann215_asgn2442-,2-1-0-0-2-2-2-2-1-0-
140,keyboard,television_room,ann115_asgn2240-ann218_asgn2241-ann261_asgn2242-ann257_asgn2243-ann51_asgn2244-ann140_asgn2245-ann17_asgn2246-ann30_asgn2247-ann215_asgn2248-ann17_asgn4578-,2-0-2-2-0-0-0-1-2-1-
141,knife,dining_room,ann115_asgn1560-ann116_asgn1561-ann207_asgn1562-ann220_asgn1563-ann225_asgn1564-ann107_asgn1565-ann202_asgn1566-ann140_asgn1567-ann30_asgn1568-ann8_asgn1569-,0-1-0-0-2-2-2-1-1-0-
142,knife,garage,ann209_asgn1430-ann115_asgn1431-ann214_asgn1432-ann181_asgn1433-ann129_asgn1434-ann213_asgn1435-ann207_asgn1436-ann220_asgn1437-ann107_asgn1438-ann8_asgn1439-,2-1-1-1-0-2-0-0-2-1-
143,knife,home_office,ann209_asgn1430-ann115_asgn1431-ann214_asgn1432-ann181_asgn1433-ann129_asgn1434-ann213_asgn1435-ann207_asgn1436-ann220_asgn1437-ann107_asgn1438-ann8_asgn1439-,2-0-1-0-1-2-1-2-2-2-
144,knife,living_room,ann209_asgn1760-ann115_asgn1761-ann213_asgn1762-ann225_asgn1763-ann16_asgn1764-ann122_asgn1765-ann140_asgn1766-ann30_asgn1767-ann8_asgn1768-ann97_asgn1769-,2-0-2-2-1-0-1-1-0-0-
145,knife_block,playroom,ann32_asgn550-ann135_asgn551-ann129_asgn552-ann168_asgn553-ann169_asgn554-ann108_asgn555-ann17_asgn556-ann80_asgn557-ann8_asgn558-ann9_asgn559-,2-1-2-0-2-0-1-0-0-0-
146,labeling_tape,corridor,ann115_asgn3317-ann1_asgn3318-ann298_asgn3319-ann168_asgn3320-ann207_asgn3321-ann161_asgn3322-ann123_asgn3323-ann147_asgn3324-ann8_asgn3325-ann31_asgn3326-,2-0-0-0-1-0-1-2-0-0-
147,lamp,garage,ann209_asgn1110-ann115_asgn1111-ann116_asgn1112-ann218_asgn1113-ann211_asgn1114-ann129_asgn1115-ann207_asgn1116-ann219_asgn1117-ann123_asgn1118-ann8_asgn1119-,2-1-0-0-0-1-1-1-2-2-
148,lamp,home_office,ann209_asgn1710-ann115_asgn1711-ann116_asgn1712-ann214_asgn1713-ann211_asgn1714-ann207_asgn1715-ann220_asgn1716-ann51_asgn1717-ann8_asgn1718-ann31_asgn1719-,0-2-1-0-1-0-2-0-0-0-
149,lamp,lobby,ann82_asgn1770-ann115_asgn1771-ann116_asgn1772-ann181_asgn1773-ann207_asgn1774-ann225_asgn1775-ann51_asgn1776-ann23_asgn1777-ann8_asgn1778-ann97_asgn1779-,1-2-1-0-2-2-2-2-2-0-
150,lantern,bathroom,ann134_asgn330-ann115_asgn331-ann114_asgn332-ann123_asgn333-ann100_asgn334-ann17_asgn335-ann80_asgn336-ann30_asgn337-ann8_asgn338-ann9_asgn339-,0-0-0-2-0-1-0-1-2-0-
151,laptop_cover,pantry_room,ann222_asgn1300-ann209_asgn1301-ann115_asgn1302-ann213_asgn1303-ann207_asgn1304-ann27_asgn1305-ann16_asgn1306-ann123_asgn1307-ann30_asgn1308-ann8_asgn1309-,2-1-0-1-2-0-1-1-0-1-
152,laptop_stand,bathroom,ann114_asgn830-ann51_asgn831-ann187_asgn832-ann63_asgn833-ann140_asgn834-ann18_asgn835-ann80_asgn836-ann8_asgn837-ann9_asgn838-ann188_asgn839-,0-2-0-2-1-1-0-2-0-0-
153,laptop_stand,dining_room,ann176_asgn650-ann115_asgn651-ann107_asgn652-ann114_asgn653-ann50_asgn654-ann51_asgn655-ann109_asgn656-ann7_asgn657-ann140_asgn658-ann17_asgn659-,1-0-2-0-2-2-1-2-2-0-
154,laundry_box,bathroom,ann209_asgn1160-ann115_asgn1161-ann116_asgn1162-ann214_asgn1163-ann211_asgn1164-ann207_asgn1165-ann225_asgn1166-ann16_asgn1167-ann107_asgn1168-ann8_asgn1169-,0-0-1-0-1-1-1-2-0-2-
155,laundry_box,corridor,ann209_asgn1520-ann115_asgn1521-ann211_asgn1522-ann61_asgn1523-ann207_asgn1524-ann27_asgn1525-ann16_asgn1526-ann51_asgn1527-ann241_asgn1528-ann8_asgn1529-,0-0-1-0-1-2-0-2-0-0-
156,laxative,dining_room,ann347_asgn4377-ann32_asgn4378-ann349_asgn4379-ann350_asgn4380-ann87_asgn4381-ann340_asgn4382-ann341_asgn4383-ann147_asgn4384-ann17_asgn4385-ann353_asgn4386-,0-0-2-0-1-2-0-1-2-2-
157,laxative,home_office,ann350_asgn4017-ann239_asgn4018-ann344_asgn4019-ann303_asgn4020-ann356_asgn4021-ann161_asgn4022-ann340_asgn4023-ann343_asgn4024-ann17_asgn4025-ann354_asgn4026-,0-2-1-0-2-0-1-1-0-0-
158,lego_duplo,pantry_room,ann70_asgn100-ann71_asgn101-ann72_asgn102-ann73_asgn103-ann74_asgn104-ann69_asgn105-ann17_asgn106-ann18_asgn107-ann75_asgn108-ann31_asgn109-,2-0-0-1-0-2-0-0-2-1-
159,lemon,pantry_room,ann70_asgn270-ann134_asgn271-ann135_asgn272-ann113_asgn273-ann136_asgn274-ann137_asgn275-ann123_asgn276-ann80_asgn277-ann30_asgn278-ann8_asgn279-,0-0-2-1-1-0-2-2-0-0-
160,light_bulb,kitchen,ann307_asgn2638-ann115_asgn2639-ann226_asgn2640-ann136_asgn2641-ann213_asgn2642-ann207_asgn2643-ann51_asgn2644-ann266_asgn2645-ann17_asgn2646-ann31_asgn2647-,0-0-2-2-2-1-2-2-1-2-
161,lime_squeezer,lobby,ann134_asgn3447-ann32_asgn3448-ann115_asgn3449-ann136_asgn3450-ann207_asgn3451-ann87_asgn3452-ann328_asgn3453-ann140_asgn3454-ann17_asgn3455-ann23_asgn3456-,2-2-0-0-1-0-2-1-1-2-
162,lipstick,childs_room,ann264_asgn1890-ann218_asgn1891-ann227_asgn1892-ann261_asgn1893-ann257_asgn1894-ann220_asgn1895-ann123_asgn1896-ann17_asgn1897-ann30_asgn1898-ann346_asgn4558-,1-0-1-2-0-2-0-1-1-0-
163,lunch_bag,living_room,ann288_asgn2598-ann304_asgn2599-ann87_asgn2600-ann161_asgn2601-ann94_asgn2602-ann266_asgn2603-ann305_asgn2604-ann140_asgn2605-ann23_asgn2606-ann306_asgn2607-,0-0-0-2-1-0-2-1-0-0-
164,lunch_bag,television_room,ann115_asgn3017-ann327_asgn3018-ann303_asgn3019-ann298_asgn3020-ann213_asgn3021-ann207_asgn3022-ann51_asgn3023-ann285_asgn3024-ann17_asgn3025-ann8_asgn3026-,0-2-0-1-0-1-0-1-1-2-
165,lunch_bag,utility_room,ann134_asgn3147-ann115_asgn3148-ann136_asgn3149-ann207_asgn3150-ann161_asgn3151-ann51_asgn3152-ann123_asgn3153-ann266_asgn3154-ann23_asgn3155-ann8_asgn3156-,1-0-2-0-0-1-1-1-1-2-
166,lunch_box,pantry_room,ann115_asgn2462-ann218_asgn2463-ann261_asgn2464-ann257_asgn2465-ann189_asgn2466-ann213_asgn2467-ann269_asgn2468-ann17_asgn2469-ann215_asgn2470-ann345_asgn4586-,0-0-0-2-0-0-0-2-1-1-
167,lunch_box,playroom,ann82_asgn2123-ann218_asgn2124-ann135_asgn2125-ann257_asgn2126-ann269_asgn2127-ann67_asgn2128-ann51_asgn2129-ann123_asgn2130-ann140_asgn2131-ann215_asgn2132-,2-0-1-0-2-1-1-1-1-0-
168,magnifying_glass,bathroom,ann350_asgn3997-ann348_asgn3998-ann239_asgn3999-ann344_asgn4000-ann16_asgn4001-ann283_asgn4002-ann87_asgn4003-ann161_asgn4004-ann341_asgn4005-ann314_asgn4006-,0-0-2-1-0-1-2-0-0-0-
169,magnifying_glass,living_room,ann82_asgn3727-ann349_asgn3728-ann350_asgn3729-ann344_asgn3730-ann303_asgn3731-ann207_asgn3732-ann283_asgn3733-ann87_asgn3734-ann123_asgn3735-ann354_asgn3736-,0-1-2-1-0-0-0-2-0-0-
170,mascara,storage_room,ann115_asgn3267-ann303_asgn3268-ann298_asgn3269-ann207_asgn3270-ann87_asgn3271-ann285_asgn3272-ann123_asgn3273-ann266_asgn3274-ann17_asgn3275-ann8_asgn3276-,0-2-1-1-2-1-1-1-1-0-
171,mascara,television_room,ann115_asgn3207-ann298_asgn3208-ann87_asgn3209-ann51_asgn3210-ann266_asgn3211-ann17_asgn3212-ann23_asgn3213-ann30_asgn3214-ann8_asgn3215-ann320_asgn3216-,0-1-2-2-1-1-0-1-0-0-
172,mascara,utility_room,ann115_asgn3457-ann302_asgn3458-ann303_asgn3459-ann337_asgn3460-ann298_asgn3461-ann207_asgn3462-ann88_asgn3463-ann147_asgn3464-ann17_asgn3465-ann8_asgn3466-,0-1-0-0-2-1-0-0-1-2-
173,master_chef_can,bathroom,ann32_asgn550-ann135_asgn551-ann129_asgn552-ann168_asgn553-ann169_asgn554-ann108_asgn555-ann17_asgn556-ann80_asgn557-ann8_asgn558-ann9_asgn559-,2-1-1-0-2-2-1-0-2-2-
174,measuring_tape,bathroom,ann231_asgn4157-ann350_asgn4158-ann239_asgn4159-ann356_asgn4160-ann207_asgn4161-ann28_asgn4162-ann316_asgn4163-ann305_asgn4164-ann147_asgn4165-ann17_asgn4166-,1-0-2-0-1-2-0-2-2-1-
175,measuring_tape,garage,ann25_asgn4417-ann207_asgn4418-ann28_asgn4419-ann283_asgn4420-ann87_asgn4421-ann342_asgn4422-ann123_asgn4423-ann305_asgn4424-ann147_asgn4425-ann17_asgn4426-,2-1-1-0-0-0-2-1-1-0-
176,measuring_tape,home_office,ann231_asgn3977-ann349_asgn3978-ann350_asgn3979-ann239_asgn3980-ann344_asgn3981-ann298_asgn3982-ann356_asgn3983-ann207_asgn3984-ann161_asgn3985-ann341_asgn3986-,1-1-2-0-1-2-1-2-2-0-
177,measuring_tape,living_room,ann347_asgn3587-ann265_asgn3588-ann346_asgn3589-ann303_asgn3590-ann339_asgn3591-ann330_asgn3592-ann161_asgn3593-ann266_asgn3594-ann234_asgn3595-ann17_asgn3596-,0-0-0-0-1-1-2-0-0-2-
178,medicine,storage_room,ann115_asgn2202-ann218_asgn2203-ann261_asgn2204-ann269_asgn2205-ann67_asgn2206-ann283_asgn2207-ann161_asgn2208-ann51_asgn2209-ann140_asgn2210-ann215_asgn2211-,1-2-2-0-0-1-0-0-1-2-
179,milk_frother,storage_room,ann82_asgn2618-ann303_asgn2619-ann298_asgn2620-ann207_asgn2621-ann51_asgn2622-ann123_asgn2623-ann266_asgn2624-ann140_asgn2625-ann17_asgn2626-ann8_asgn2627-,0-0-0-2-2-2-2-1-1-0-
180,mini_soccer_ball,dining_room,ann209_asgn1790-ann115_asgn1791-ann116_asgn1792-ann129_asgn1793-ann207_asgn1794-ann16_asgn1795-ann123_asgn1796-ann147_asgn1797-ann8_asgn1798-ann97_asgn1799-,2-0-1-2-1-2-2-0-0-0-
181,mini_soccer_ball,kitchen,ann209_asgn1810-ann115_asgn1811-ann211_asgn1812-ann129_asgn1813-ann233_asgn1814-ann213_asgn1815-ann207_asgn1816-ann30_asgn1817-ann8_asgn1818-ann215_asgn1819-,2-0-1-2-2-2-1-1-2-0-
182,mini_soccer_ball,pantry_room,ann115_asgn1580-ann116_asgn1581-ann41_asgn1582-ann214_asgn1583-ann207_asgn1584-ann220_asgn1585-ann225_asgn1586-ann94_asgn1587-ann8_asgn1588-ann97_asgn1589-,0-2-2-1-2-0-1-1-1-1-
183,mini_soccer_ball,television_room,ann209_asgn1220-ann32_asgn1221-ann115_asgn1222-ann1_asgn1223-ann213_asgn1224-ann207_asgn1225-ann36_asgn1226-ann27_asgn1227-ann123_asgn1228-ann8_asgn1229-,2-2-0-2-2-1-1-0-2-0-
184,mouse_pad,corridor,ann166_asgn750-ann132_asgn751-ann67_asgn752-ann108_asgn753-ann51_asgn754-ann18_asgn755-ann80_asgn756-ann8_asgn757-ann9_asgn758-ann110_asgn759-,1-0-2-0-2-1-0-2-2-2-
185,mouse_pad,living_room,ann191_asgn870-ann192_asgn871-ann193_asgn872-ann11_asgn873-ann107_asgn874-ann194_asgn875-ann80_asgn876-ann8_asgn877-ann9_asgn878-ann31_asgn879-,0-1-0-1-1-1-2-2-1-1-
186,movie_dvd,corridor,ann134_asgn3187-ann115_asgn3188-ann298_asgn3189-ann207_asgn3190-ann87_asgn3191-ann285_asgn3192-ann266_asgn3193-ann30_asgn3194-ann8_asgn3195-ann331_asgn3196-,0-2-0-0-0-1-0-1-2-0-
187,movie_dvd,garage,ann32_asgn2688-ann115_asgn2689-ann298_asgn2690-ann213_asgn2691-ann207_asgn2692-ann87_asgn2693-ann161_asgn2694-ann147_asgn2695-ann17_asgn2696-ann9_asgn2697-,1-2-2-0-2-1-2-2-1-0-
188,mug,storage_room,ann115_asgn1560-ann116_asgn1561-ann207_asgn1562-ann220_asgn1563-ann225_asgn1564-ann107_asgn1565-ann202_asgn1566-ann140_asgn1567-ann30_asgn1568-ann8_asgn1569-,0-1-0-0-2-2-2-2-1-0-
189,mug,television_room,ann115_asgn1560-ann116_asgn1561-ann207_asgn1562-ann220_asgn1563-ann225_asgn1564-ann107_asgn1565-ann202_asgn1566-ann140_asgn1567-ann30_asgn1568-ann8_asgn1569-,0-1-1-0-2-2-1-1-0-0-
190,mustard_bottle,bedroom,ann209_asgn1290-ann115_asgn1291-ann233_asgn1292-ann213_asgn1293-ann36_asgn1294-ann27_asgn1295-ann51_asgn1296-ann123_asgn1297-ann234_asgn1298-ann97_asgn1299-,0-2-0-0-1-2-0-0-1-0-
191,mustard_bottle,childs_room,ann209_asgn1810-ann115_asgn1811-ann211_asgn1812-ann129_asgn1813-ann233_asgn1814-ann213_asgn1815-ann207_asgn1816-ann30_asgn1817-ann8_asgn1818-ann215_asgn1819-,0-2-1-1-0-0-1-1-0-2-
192,mustard_bottle,garage,ann115_asgn1750-ann211_asgn1751-ann207_asgn1752-ann220_asgn1753-ann225_asgn1754-ann221_asgn1755-ann16_asgn1756-ann50_asgn1757-ann223_asgn1758-ann8_asgn1759-,1-1-2-2-0-1-0-2-0-2-
193,mustard_bottle,lobby,ann209_asgn1100-ann115_asgn1101-ann181_asgn1102-ann213_asgn1103-ann16_asgn1104-ann217_asgn1105-ann140_asgn1106-ann23_asgn1107-ann30_asgn1108-ann8_asgn1109-,0-2-2-0-1-0-1-0-1-0-
194,neck_rest,home_office,ann25_asgn4397-ann346_asgn4398-ann344_asgn4399-ann303_asgn4400-ann297_asgn4401-ann339_asgn4402-ann107_asgn4403-ann161_asgn4404-ann343_asgn4405-ann140_asgn4406-,0-0-1-0-2-0-0-2-1-0-
195,neck_rest,playroom,ann349_asgn3917-ann350_asgn3918-ann357_asgn3919-ann346_asgn3920-ann239_asgn3921-ann344_asgn3922-ann359_asgn3923-ann340_asgn3924-ann341_asgn3925-ann342_asgn3926-,1-2-0-0-2-1-0-1-0-2-
196,neck_rest,television_room,ann352_asgn3777-ann349_asgn3778-ann239_asgn3779-ann207_asgn3780-ann107_asgn3781-ann28_asgn3782-ann123_asgn3783-ann305_asgn3784-ann140_asgn3785-ann351_asgn3786-,1-1-2-0-2-2-2-2-2-0-
197,nine_hole_peg_test,pantry_room,ann209_asgn1310-ann115_asgn1311-ann211_asgn1312-ann129_asgn1313-ann213_asgn1314-ann207_asgn1315-ann220_asgn1316-ann16_asgn1317-ann23_asgn1318-ann8_asgn1319-,2-0-1-2-2-1-0-2-2-2-
198,nintendo_switch,dining_room,ann264_asgn2258-ann129_asgn2259-ann257_asgn2260-ann161_asgn2261-ann50_asgn2262-ann51_asgn2263-ann123_asgn2264-ann17_asgn2265-ann215_asgn2266-ann346_asgn4580-,1-0-0-0-0-2-0-1-0-2-
199,nintendo_switch,television_room,ann115_asgn1936-ann218_asgn1937-ann135_asgn1938-ann261_asgn1939-ann257_asgn1940-ann213_asgn1941-ann269_asgn1942-ann17_asgn1943-ann215_asgn1944-ann84_asgn4562-,0-0-1-2-0-1-2-2-2-2-
200,padlock,pantry_room,ann115_asgn360-ann111_asgn361-ann112_asgn362-ann137_asgn363-ann108_asgn364-ann109_asgn365-ann18_asgn366-ann8_asgn367-ann9_asgn368-ann31_asgn369-,0-0-0-2-1-0-2-1-0-0-
201,paint_bottle_set,corridor,ann82_asgn3117-ann115_asgn3118-ann298_asgn3119-ann207_asgn3120-ann225_asgn3121-ann161_asgn3122-ann51_asgn3123-ann266_asgn3124-ann17_asgn3125-ann8_asgn3126-,2-0-1-1-2-2-2-2-1-0-
202,paint_bottle_set,living_room,ann134_asgn3097-ann115_asgn3098-ann213_asgn3099-ann207_asgn3100-ann161_asgn3101-ann51_asgn3102-ann285_asgn3103-ann147_asgn3104-ann17_asgn3105-ann8_asgn3106-,0-2-0-2-0-1-1-0-2-0-
203,pan,television_room,ann209_asgn1810-ann115_asgn1811-ann211_asgn1812-ann129_asgn1813-ann233_asgn1814-ann213_asgn1815-ann207_asgn1816-ann30_asgn1817-ann8_asgn1818-ann215_asgn1819-,0-2-1-1-0-0-1-1-0-2-
204,parchment_sheet,bathroom,ann231_asgn3977-ann349_asgn3978-ann350_asgn3979-ann239_asgn3980-ann344_asgn3981-ann298_asgn3982-ann356_asgn3983-ann207_asgn3984-ann161_asgn3985-ann341_asgn3986-,1-1-0-0-1-2-1-1-2-2-
205,parchment_sheet,bedroom,ann265_asgn3807-ann349_asgn3808-ann348_asgn3809-ann303_asgn3810-ann283_asgn3811-ann87_asgn3812-ann340_asgn3813-ann342_asgn3814-ann343_asgn3815-ann351_asgn3816-,0-1-0-2-1-0-1-0-1-2-
206,parchment_sheet,lobby,ann32_asgn3547-ann344_asgn3548-ann303_asgn3549-ann87_asgn3550-ann161_asgn3551-ann345_asgn3552-ann316_asgn3553-ann123_asgn3554-ann140_asgn3555-ann17_asgn3556-,0-1-0-0-0-2-2-0-1-0-
207,parchment_sheet,storage_room,ann32_asgn4297-ann349_asgn4298-ann350_asgn4299-ann239_asgn4300-ann303_asgn4301-ann356_asgn4302-ann340_asgn4303-ann342_asgn4304-ann123_asgn4305-ann351_asgn4306-,1-1-2-0-2-1-1-2-2-0-
